EbayID,Labels
73466,Ebay>Antiques>AsianAntiques>Japan>OtherJapaneseAntiques
162979,Ebay>Antiques>AsianAntiques>Korea
116556,Ebay>Antiques>AsianAntiques>MiddleEast
162989,Ebay>Antiques>AsianAntiques>Mongolia
162980,Ebay>Antiques>AsianAntiques>SoutheastAsia>Amulets
162981,Ebay>Antiques>AsianAntiques>SoutheastAsia>Bells
162982,Ebay>Antiques>AsianAntiques>SoutheastAsia>Bracelets
162983,Ebay>Antiques>AsianAntiques>SoutheastAsia>Masks
162984,Ebay>Antiques>AsianAntiques>SoutheastAsia>Necklaces_Pendants
162985,Ebay>Antiques>AsianAntiques>SoutheastAsia>Paintings
162986,Ebay>Antiques>AsianAntiques>SoutheastAsia>Statues
20085,Ebay>Antiques>AsianAntiques>SoutheastAsia>OtherSoutheastAsianAntiques
79947,Ebay>Antiques>AsianAntiques>Tibet
162988,Ebay>Antiques>AsianAntiques>Unknown
155354,Ebay>Antiques>AsianAntiques>Reproductions
171171,Ebay>Antiques>AsianAntiques>PriceGuides_Publications
2194,Ebay>Antiques>AsianAntiques>OtherAsianAntiques
63522,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Bowls
63523,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Boxes
162999,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>ButterPats
163000,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>CandleHolders
163001,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Candlesticks
163002,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>ChamberPots
63524,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Creamers_SugarBowls
163003,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Crocks
63525,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Cups_Saucers
63526,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Figurines
63527,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Jars
163004,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Jugs
63529,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Mugs_Tankards
63528,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Pitchers
163006,Ebay>Antiques>DecorativeArts>Ceramics_Porcelain>Planters
